#      Omega(a)             rho_vir/rho_crit     delta_crit^0
    0.14120983817814    72.308935342673    1.6683657161197
    0.14220948879738    72.488810332180    1.6684322722920
    0.14320884796657    72.668180420993    1.6684983632023
    0.14420792025608    72.847051670260    1.6685639952930
    0.14520671013480    73.025430021052    1.6686291748713
    0.14620522197350    73.203321297642    1.6686939081122
    0.14720346004765    73.380731210695    1.6687582010625
    0.14820142854028    73.557665360345    1.6688220596438
    0.14919913154459    73.734129239172    1.6688854896567
    0.15019657306656    73.910128235073    1.6689484967838
    0.15119375702738    74.085667634033    1.6690110865927
    0.15219068726540    74.260752622850    1.6690732645404
    0.15318736754070    74.435388291521    1.6691350359723
    0.15418380153284    74.609579636144    1.6691964061325
    0.15517999284697    74.783331560987    1.6692573801601
    0.15617594501602    74.956648880815    1.6693179630917
    0.15717166149856    75.129536323529    1.6693781598709
    0.15816714568527    75.301998531949    1.6694379753435
    0.15916240089857    75.474040066138    1.6694974142633
    0.16015743039481    75.645665405417    1.6695564812941
    0.16115223736610    75.816878950350    1.6696151810121
    0.16214682494135    75.987685024728    1.6696735179084
    0.16314119619109    76.158087877142    1.6697314963871
    0.16413535412254    76.328091683385    1.6697891207769
    0.16512930168702    76.497700547668    1.6698463953239
    0.16612304178089    76.666918504368    1.6699033241952
    0.16711657724414    76.835749519932    1.6699599114842
    0.16810991086200    77.004197494461    1.6700161612128
    0.16910304536935    77.172266262967    1.6700720773280
    0.17009598344962    77.339959597104    1.6701276637078
    0.17108872773653    77.507281206581    1.6701829241615
    0.17208128081541    77.674234740568    1.6702378624319
    0.17307364522358    77.840823789144    1.6702924821975
    0.17406582345511    78.007051884296    1.6703467870691
    0.17505781795491    78.172922501869    1.6704007806011
    0.17604963112602    78.338439062252    1.6704544662845
    0.17704126533078    78.503604931572    1.6705078475475
    0.17803272288542    78.668423423505    1.6705609277668
    0.17902400606820    78.832897799745    1.6706137102580
    0.18001511711667    78.997031271482    1.6706661982825
    0.18100605822950    79.160827000404    1.6707183950474
    0.18199683156724    79.324288099775    1.6707703037070
    0.18298743925323    79.487417635462    1.6708219273637
    0.18397788337448    79.650218626937    1.6708732690695
    0.18496816598248    79.812694048257    1.6709243318267
    0.18595828909394    79.974846829018    1.6709751185892
    0.18694825469103    80.136679855335    1.6710256322645
    0.18793806472547    80.298195970416    1.6710758757098
    0.18892772111164    80.459397976188    1.6711258517439
    0.18991722573780    80.620288633113    1.6711755631332
    0.19090658045622    80.780870662069    1.6712250126078
    0.19189578709168    80.941146744381    1.6712742028510
    0.19288484743855    81.101119522966    1.6713231365056
    0.19387376326211    81.260791603034    1.6713718161736
    0.19486253629852    81.420165552906    1.6714202444182
    0.19585116825895    81.579243904381    1.6714684237594
    0.19683966082301    81.738029154178    1.6715163566848
    0.19782801564657    81.896523763896    1.6715640456406
    0.19881623435797    82.054730161128    1.6716114930382
    0.19980431856279    82.212650739690    1.6716587012491
    0.20079226983732    82.370287860991    1.6717056726154
    0.20178008973621    82.527643853925    1.6717524094407
    0.20276777978941    82.684721015850    1.6717989139954
    0.20375534150253    82.841521613201    1.6718451885183
    0.20474277636048    82.998047881745    1.6718912352119
    0.20573008582402    83.154302027549    1.6719370562492
    0.20671727133036    83.310286227533    1.6719826537739
    0.20770433429723    83.466002629623    1.6720280298959
    0.20869127611969    83.621453353667    1.6720731866969
    0.20967809817489    83.776640491486    1.6721181262251
    0.21066480181439    83.931566108243    1.6721628505070
    0.21165138837569    84.086232241750    1.6722073615322
    0.21263785917147    84.240640904134    1.6722516612698
    0.21362421549812    84.394794081446    1.6722957516574
    0.21461045863245    84.548693734504    1.6723396346068
    0.21559658983277    84.702341799271    1.6723833120033
    0.21658261033920    84.855740187294    1.6724267857065
    0.21756852137413    85.008890786123    1.6724700575505
    0.21855432414237    85.161795459750    1.6725131293447
    0.21954001983172    85.314456048994    1.6725560028737
    0.22052560961310    85.466874371922    1.6725986798983
    0.22151109464094    85.619052224232    1.6726411621557
    0.22249647605345    85.770991379640    1.6726834513600
    0.22348175497298    85.922693590248    1.6727255492023
    0.22446693250630    86.074160586915    1.6727674573516
    0.22545200974404    86.225394079710    1.6728091774559
    0.22643698776489    86.376395757819    1.6728507111376
    0.22742186762744    86.527167290839    1.6728920600050
    0.22840665038112    86.677710327914    1.6729332256384
    0.22939133705884    86.828026498922    1.6729742096008
    0.23037592867797    86.978117414710    1.6730150134372
    0.23136042624369    87.127984667071    1.6730556386709
    0.23234483075006    87.277629828945    1.6730960868022
    0.23332914317322    87.427054455528    1.6731363593192
    0.23431336447935    87.576260083688    1.6731764576868
    0.23529749562117    87.725248232678    1.6732163833522
    0.23628153753875    87.874020404354    1.6732561377451
    0.23726549115984    88.022578083439    1.6732957222770
    0.23824935739928    88.170922737889    1.6733351383429
    0.23923313716316    88.319055818702    1.6733743873165
    0.24021683134108    88.466978761096    1.6734134705609
    0.24120044081353    88.614692983941    1.6734523894193
    0.24218396645117    88.762199890108    1.6734911452165
    0.24316740911210    88.909500867059    1.6735297392631
    0.24415076964175    89.056597287119    1.6735681728563
    0.24513404887724    89.203490507227    1.6736064472741
    0.24611724764353    89.350181869645    1.6736445637816
    0.24710036675752    89.496672701710    1.6736825236255
    0.24808340702430    89.642964316530    1.6737203280397
    0.24906636923733    89.789058013198    1.6737579782458
    0.25004925418253    89.934955076540    1.6737954754477
    0.25103206263531    90.080656777699    1.6738328208362
    0.25201479536072    90.226164374341    1.6738700155893
    0.25299745311754    90.371479110380    1.6739070608668
    0.25398003665051    90.516602217139    1.6739439578217
    0.25496254669846    90.661534912575    1.6739807075893
    0.25594498399043    90.806278401957    1.6740173112928
    0.25692734924584    90.950833878052    1.6740537700437
    0.25790964317860    91.095202520822    1.6740900849366
    0.25889186648929    91.239385498579    1.6741262570598
    0.25987401987325    91.383383967189    1.6741622874853
    0.26085610401679    91.527199070721    1.6741981772737
    0.26183811959802    91.670831941535    1.6742339274741
    0.26282006728697    91.814283700452    1.6742695391235
    0.26380194774589    91.957555456892    1.6743050132475
    0.26478376162916    92.100648309066    1.6743403508602
    0.26576550958352    92.243563344115    1.6743755529646
    0.26674719224817    92.386301638271    1.6744106205525
    0.26772881025408    92.528864257115    1.6744455546061
    0.26871036422814    92.671252255207    1.6744803560920
    0.26969185478512    92.813466677272    1.6745150259735
    0.27067328253606    92.955508557296    1.6745495651985
    0.27165464808407    93.097378919207    1.6745839747060
    0.27263595202466    93.239078776998    1.6746182554259
    0.27361719494977    93.380609134346    1.6746524082737
    0.27459837743975    93.521970985801    1.6746864341617
    0.27557950007172    93.663165315855    1.6747203339881
    0.27656056341455    93.804193099725    1.6747541086438
    0.27754156803327    93.945055302928    1.6747877590069
    0.27852251448500    94.085752881943    1.6748212859483
    0.27950340331895    94.226286784347    1.6748546903322
    0.28048423508070    94.366657948397    1.6748879730104
    0.28146501030820    94.506867303674    1.6749211348278
    0.28244572953584    94.646915770686    1.6749541766175
    0.28342639329066    94.786804261481    1.6749870992059
    0.28440700209211    94.926533679817    1.6750199034133
    0.28538755645659    95.066104920679    1.6750525900482
    0.28636805689399    95.205518870852    1.6750851599117
    0.28734850390868    95.344776408916    1.6751176137970
    0.28832889799959    95.483878405348    1.6751499524891
    0.28930923966031    95.622825722620    1.6751821767651
    0.29028952937908    95.761619215323    1.6752142873942
    0.29126976763897    95.900259730238    1.6752462851377
    0.29224995491791    96.038748106455    1.6752781707495
    0.29323009168786    96.177085175586    1.6753099449770
    0.29421017841920    96.315271761276    1.6753416085557
    0.29519021557227    96.453308680455    1.6753731622203
    0.29617020360599    96.591196742270    1.6754046066941
    0.29715014297354    96.728936748772    1.6754359426940
    0.29813003412342    96.866529494870    1.6754671709302
    0.29910987749951    97.003975768423    1.6754982921057
    0.30008967354095    97.141276350345    1.6755293069167
    0.30106942268247    97.278432014666    1.6755602160526
    0.30204912535340    97.415443528747    1.6755910201974
    0.30302878198120    97.552311652898    1.6756217200248
    0.30400839298725    97.689037141033    1.6756523162045
    0.30498795878695    97.825620740765    1.6756828094021
    0.30596747979406    97.962063192878    1.6757132002730
    0.30694695641719    98.098365231900    1.6757434894680
    0.30792638906089    98.234527586041    1.6757736776313
    0.30890577812557    98.370550977285    1.6758037654013
    0.30988512400683    98.506436121572    1.6758337534114
    0.31086442709961    98.642183728275    1.6758636422843
    0.31184368778990    98.777794501476    1.6758934326439
    0.31282290646237    98.913269138950    1.6759231251047
    0.31380208350036    99.048608332238    1.6759527202722
    0.31478121927837    99.183812767809    1.6759822187531
    0.31576031417061    99.318883125896    1.6760116211436
    0.31673936854580    99.453820081330    1.6760409280372
    0.31771838277259    99.588624302821    1.6760701400168
    0.31869735720996    99.723296454422    1.6760992576684
    0.31967629222024    99.857837193712    1.6761282815632
    0.32065518815544    99.992247173853    1.6761572122765
    0.32163404537088   100.126527041668    1.6761860503692
    0.32261286421174   100.260677439683    1.6762147964062
    0.32359164502658   100.394699004197    1.6762434509380
    0.32457038815477   100.528592367213    1.6762720145185
    0.32554909393573   100.662358155130    1.6763004876917
    0.32652776270479   100.795996989418    1.6763288709982
    0.32750639479413   100.929509486543    1.6763571649734
    0.32848499053193   101.062896258165    1.6763853701494
    0.32946355024655   101.196157910554    1.6764134870488
    0.33044207425829   101.329295045904    1.6764415161965
    0.33142056288774   101.462308261129    1.6764694581083
    0.33239901645168   101.595198148542    1.6764973132963
    0.33337743526298   101.727965295925    1.6765250822696
    0.33435581963507   101.860610285910    1.6765527655281
    0.33533416987339   101.993133697333    1.6765803635742
    0.33631248628382   102.125536104008    1.6766078769014
    0.33729076916865   102.257818075396    1.6766353060001
    0.33826901882733   102.389980176541    1.6766626513564
    0.33924723555658   102.522022968107    1.6766899134521
    0.34022541965041   102.653947006433    1.6767170927651
    0.34120357139918   102.785752843725    1.6767441897703
    0.34218169109412   102.917441027397    1.6767712049337
    0.34315977901865   103.049012101494    1.6767981387245
    0.34413783545701   103.180466605371    1.6768249916033
    0.34511586069001   103.311805074424    1.6768517640278
    0.34609385499592   103.443028039990    1.6768784564520
    0.34707181864968   103.574136029520    1.6769050693270
    0.34804975192630   103.705129566095    1.6769316030968
    0.34902765509571   103.836009169274    1.6769580582053
    0.35000552842719   103.966775354453    1.6769844350902
    0.35098337218510   104.097428633574    1.6770107341888
    0.35196118663302   104.227969514530    1.6770369559331
    0.35293897203484   104.358398501007    1.6770631007473
    0.35391672864703   104.488716093787    1.6770891690596
    0.35489445672708   104.618922789430    1.6771151612898
    0.35587215652952   104.749019080954    1.6771410778554
    0.35684982830647   104.879005457788    1.6771669191707
    0.35782747230799   105.008882405761    1.6771926856463
    0.35880508878103   105.138650407309    1.6772183776908
    0.35978267797381    105.26830994080    1.6772439957049
    0.36076024012725    105.39786148197    1.6772695400929
    0.36173777548364    105.52730550257    1.6772950112511
    0.36271528428229    105.65664247107    1.6773204095742
    0.36369276676046    105.78587285258    1.6773457354531
    0.36467022315334    105.91499710890    1.6773709892761
    0.36564765369411    106.04401569850    1.6773961714282
    0.36662505861312    106.17292907674    1.6774212822925
    0.36760243814220    106.30173769516    1.6774463222442
    0.36857979250508    106.43044200312    1.6774712916642
    0.36955712193062    106.55904244566    1.6774961909205
    0.37053442663959    106.68753946566    1.6775210203867
    0.37151170685442    106.81593350236    1.6775457804287
    0.37248896279389    106.94422499216    1.6775704714120
    0.37346619467843    107.07241436786    1.6775950936941
    0.37444340272052    107.20050206027    1.6776196476387
    0.37542058713779    107.32848849603    1.6776441335965
    0.37639774814008    107.45637409983    1.6776685519241
    0.37737488593880    107.58415929286    1.6776929029707
    0.37835200074284    107.71184449356    1.6777171870838
    0.37932909275932    107.83943011748    1.6777414046083
    0.38030616219280    107.96691657747    1.6777655558876
    0.38128320924955    108.09430428298    1.6777896412578
    0.38226023412816    108.22159364169    1.6778136610608
    0.38323723703163    108.34878505747    1.6778376156272
    0.38421421815867    108.47587893192    1.6778615052892
    0.38519117770467    108.60287566420    1.6778853303784
    0.38616811586508    108.72977565050    1.6779090912219
    0.38714503283646    108.85657928386    1.6779327881404
    0.38812192880850    108.98328695563    1.6779564214596
    0.38909880397288    109.10989905392    1.6779799914980
    0.39007565851878    109.23641596440    1.6780034985726
    0.39105249263395    109.36283807017    1.6780269429984
    0.39202930650452    109.48916575181    1.6780503250879
    0.39300610031524    109.61539938734    1.6780736451512
    0.39398287424931    109.74153935233    1.6780969034962
    0.39495962848764    109.86758602000    1.6781201004298
    0.39593636321307    109.99353976053    1.6781432362516
    0.39691307860192    110.11940094257    1.6781663112665
    0.39788977483247    110.24516993176    1.6781893257722
    0.39886645207989    110.37084709169    1.6782122800666
    0.39984311052149    110.49643278291    1.6782351744406
    0.40081975032788    110.62192736461    1.6782580091903
    0.40179637167184    110.74733119305    1.6782807846048
    0.40277297472396    110.87264462229    1.6783035009723
    0.40374955965345    110.99786800417    1.6783261585789
    0.40472612662820    111.12300168823    1.6783487577086
    0.40570267581477    111.24804602182    1.6783712986437
    0.40667920737852    111.37300135001    1.6783937816638
    0.40765572148256    111.49786801590    1.6784162070484
    0.40863221829136    111.62264635988    1.6784385750709
    0.40960869796636    111.74733672054    1.6784608860054
    0.41058516066613    111.87193943461    1.6784831401265
    0.41156160655052    111.99645483627    1.6785053377030
    0.41253803577640    112.12088325788    1.6785274790045
    0.41351444850298    112.24522502907    1.6785495642936
    0.41449084488215    112.36948047858    1.6785715938398
    0.41546722507153    112.49364993176    1.6785935679008
    0.41644358922161    112.61773371308    1.6786154867410
    0.41741993748501    112.74173214437    1.6786373506183
    0.41839627001251    112.86564554559    1.6786591597896
    0.41937258695274    112.98947423493    1.6786809145118
    0.42034888845674    113.11321852792    1.6787026150346
    0.42132517466923    113.23687873917    1.6787242616137
    0.42230144573726    113.36045518068    1.6787458544979
    0.42327770180505    113.48394816289    1.6787673939368
    0.42425394301925    113.60735799367    1.6787888801735
    0.42523016952019    113.73068498000    1.6788103134565
    0.42620638144970    113.85392942654    1.6788316940293
    0.42718257895039    113.97709163571    1.6788530221310
    0.42815876216196    114.10017190849    1.6788742980017
    0.42913493122147    114.22317054434    1.6788955218821
    0.43011108626659    114.34608784062    1.6789166940090
    0.43108722743659    114.46892409236    1.6789378146140
    0.43206335486463    114.59167959387    1.6789588839342
    0.43303946868617    114.71435463702    1.6789799022004
    0.43401556903494    114.83694951209    1.6790008696432
    0.43499165604366    114.95946450765    1.6790217864913
    0.43596772984320    115.08189991073    1.6790426529734
    0.43694379056697    115.20425600596    1.6790634693116
    0.43791983834213    115.32653307736    1.6790842357340
    0.43889587329851    115.44873140655    1.6791049524622
    0.43987189556403    115.57085127367    1.6791256197176
    0.44084790526571    115.69289295725    1.6791462377201
    0.44182390252884    115.81485673433    1.6791668066894
    0.44279988748115    115.93674287965    1.6791873268388
    0.44377586024434    116.05855166741    1.6792077983876
    0.44475182094190    116.18028336968    1.6792282215501
    0.44572776969799    116.30193825660    1.6792485965364
    0.44670370663342    116.42351659729    1.6792689235594
    0.44767963186983    116.54501865894    1.6792892028276
    0.44865554552544    116.66644470777    1.6793094345523
    0.44963144771926    116.78779500809    1.6793296189409
    0.45060733857210    116.90906982216    1.6793497561954
    0.45158321819878    117.03026941183    1.6793698465243
    0.45255908671585    117.15139403692    1.6793898901309
    0.45353494424157    117.27244395521    1.6794098872135
    0.45451079088834    117.39341942411    1.6794298379764
    0.45548662677020    117.51432069905    1.6794497426193
    0.45646245200304    117.63514803344    1.6794696013363
    0.45743826669678    117.75590168039    1.6794894143283
    0.45841407096320    117.87658189099    1.6795091817908
    0.45938986491574    117.99718891442    1.6795289039144
    0.46036564866202    118.11772299953    1.6795485808962
    0.46134142231232    118.23818439306    1.6795682129267
    0.46231718597525    118.35857334057    1.6795878001967
    0.46329293975872    118.47889008622    1.6796073428958
    0.46426868376984    118.59913487286    1.6796268412123
    0.46524441811502    118.71930794197    1.6796462953334
    0.46622014289997    118.83940953367    1.6796657054449
    0.46719585822870    118.95943988700    1.6796850717332
    0.46817156420807    119.07939923889    1.6797043943780
    0.46914726093900    119.19928782610    1.6797236735657
    0.47012294852510    119.31910588338    1.6797429094764
    0.47109862706764    119.43885364454    1.6797621022917
    0.47207429667059    119.55853134134    1.6797812521869
    0.47304995743124    119.67813920565    1.6798003593453
    0.47402560945217    119.79767746672    1.6798194239399
    0.47500125283273    119.91714635315    1.6798384461466
    0.47597688766988    120.03654609267    1.6798574261428
    0.47695251406250    120.15587691121    1.6798763641010
    0.47792813210707    120.27513903387    1.6798952601951
    0.47890374190280    120.39433268378    1.6799141145930
    0.47987934354241    120.51345808421    1.6799329274702
    0.48085493712462    120.63251545569    1.6799516989914
    0.48183052274165    120.75150501894    1.6799704293288
    0.48280610048848    120.87042699271    1.6799891186487
    0.48378167045862    120.98928159481    1.6800077671175
    0.48475723274411    121.10806904206    1.6800263749021
    0.48573278743969    121.22678954936    1.6800449421630
    0.48670833463450    121.34544333166    1.6800634690678
    0.48768387442038    121.46403060198    1.6800819557776
    0.48865940688782    121.58255157243    1.6801004024541
    0.48963493212661    121.70100645399    1.6801188092577
    0.49061045022514    121.81939545674    1.6801371763495
    0.49158596127464    121.93771878887    1.6801555038844
    0.49256146535976    122.05597665888    1.6801737920252
    0.49353696257136    122.17416927258    1.6801920409236
    0.49451245299388    122.29229683611    1.6802102507395
    0.49548793671445    122.41035955376    1.6802284216265
    0.49646341381891    122.52835762893    1.6802465537386
    0.49743888439159    122.64629126421    1.6802646472305
    0.49841434851975    122.76416066030    1.6802827022504
    0.49938980628492    122.88196601811    1.6803007189538
    0.50036525777155    122.99970753670    1.6803186974897
    0.50134070306184    123.11738541451    1.6803366380092
    0.50231614223996    123.23499984837    1.6803545406584
    0.50329157538787    123.35255103449    1.6803724055852
    0.50426700258532    123.47003916853    1.6803902329394
    0.50524242391408    123.58746444448    1.6804080228656
    0.50621783945452    123.70482705563    1.6804257755095
    0.50719324928571    123.82212719444    1.6804434910167
    0.50816865348947    123.93936505158    1.6804611695272
    0.50914405214219    124.05654081803    1.6804788111876
    0.51011944532306    124.17365468294    1.6804964161387
    0.51109483310910    124.29070683497    1.6805139845231
    0.51207021558014    124.40769746096    1.6805315164773
    0.51304559280975    124.52462674831    1.6805490121462
    0.51402096487763    124.64149488178    1.6805664716634
    0.51499633185717    124.75830204672    1.6805838951709
    0.51597169382460    124.87504842668    1.6806012828047
    0.51694705085489    124.99173420453    1.6806186347013
    0.51792240302167    125.10835956245    1.6806359509978
    0.51889775040142    125.22492468084    1.6806532318251
    0.51987309306437    125.34142974074    1.6806704773229
    0.52084843108687    125.45787492057    1.6806876876193
    0.52182376453909    125.57426039938    1.6807048628509
    0.52279909349402    125.69058635447    1.6807220031485
    0.52377441802253    125.80685296273    1.6807391086446
    0.52474973819832    125.92306039930    1.6807561794658
    0.52572505408979    126.03920883977    1.6807732157458
    0.52670036576812    126.15529845802    1.6807902176125
    0.52767567330325    126.27132942729    1.6808071851941
    0.52865097676385    126.38730192020    1.6808241186197
    0.52962627622149    126.50321610766    1.6808410180123
    0.53060157174233    126.61907216108    1.6808578835021
    0.53157686339542    126.73487025017    1.6808747152133
    0.53255215124860    126.85061054402    1.6808915132708
    0.53352743536922    126.96629321092    1.6809082777988
    0.53450271582348    127.08191841859    1.6809250089220
    0.53547799268032    127.19748633305    1.6809417067597
    0.53645326600273    127.31299712107    1.6809583714388
    0.53742853585883    127.42845094710    1.6809750030773
    0.53840380231316    127.54384797567    1.6809916017973
    0.53937906543152    127.65918837009    1.6810081677175
    0.54035432527683    127.77447229357    1.6810247009602
    0.54132958191405    127.88969990789    1.6810412016430
    0.54230483540698    128.00487137426    1.6810576698842
    0.54328008581898    128.11998685318    1.6810741058013
    0.54425533321226    128.23504650457    1.6810905095128
    0.54523057765185    128.35005048673    1.6811068811311
    0.54620581919759    128.46499895855    1.6811232207758
    0.54718105791216    128.57989207730    1.6811395285607
    0.54815629385704    128.69472999972    1.6811558046005
    0.54913152709337    128.80951288183    1.6811720490090
    0.55010675768190    128.92424087892    1.6811882618996
    0.55108198568223    129.03891414580    1.6812044433862
    0.55205721115680    129.15353283565    1.6812205935771
    0.55303243416286    129.26809710229    1.6812367125878
    0.55400765476055    129.38260709793    1.6812528005278
    0.55498287300804    129.49706297455    1.6812688575088
    0.55595808896554    129.61146488272    1.6812848836380
    0.55693330269132    129.72581297278    1.6813008790246
    0.55790851424171    129.84010739487    1.6813168437798
    0.55888372367424    129.95434829797    1.6813327780118
    0.55985893104859    130.06853582965    1.6813486818240
    0.56083392679887    130.18273227637    1.6813649024009
    0.56180913042331    130.29681364197    1.6813807458751
    0.56278433215977    130.41084207731    1.6813965592498
    0.56375953206298    130.52481772836    1.6814123426322
    0.56473473018886    130.63874073998    1.6814280961265
    0.56570992659274    130.75261125644    1.6814438198368
    0.56668512132941    130.86642942145    1.6814595138668
    0.56766031445358    130.98019537797    1.6814751783196
    0.56863550601947    131.09390926839    1.6814908132978
    0.56961069608101    131.20757123446    1.6815064189037
    0.57058588469194    131.32118141724    1.6815219952386
    0.57156107190552    131.43473995721    1.6815375424035
    0.57253625777439    131.54824699434    1.6815530604999
    0.57351144235245    131.66170266748    1.6815685496256
    0.57448662569090    131.77510711559    1.6815840098821
    0.57546180784193    131.88846047664    1.6815994413684
    0.57643698885837    132.00176288768    1.6816148441813
    0.57741216879072    132.11501448579    1.6816302184203
    0.57838734769013    132.22821540715    1.6816455641832
